iter	Passed	Remaining
0	16	16275
1	29	14929
2	43	14305
3	57	14347
4	67	13452
5	80	13266
6	93	13207
7	104	13003
8	117	12954
9	129	12828
10	142	12824
11	155	12799
12	167	12742
13	180	12717
14	193	12726
15	207	12750
16	220	12746
17	234	12769
18	246	12744
19	259	12697
20	271	12678
21	286	12749
22	301	12805
23	314	12801
24	328	12799
25	339	12734
26	352	12709
27	364	12659
28	376	12607
29	389	12608
30	402	12589
31	416	12588
32	431	12641
33	445	12646
34	459	12674
35	471	12634
36	483	12594
37	495	12545
38	507	12512
39	519	12471
40	532	12446
41	544	12422
42	557	12399
43	569	12381
44	582	12361
45	595	12355
46	608	12335
47	621	12324
48	635	12340
49	649	12338
50	662	12323
51	675	12313
52	688	12303
53	700	12274
54	714	12277
55	728	12276
56	742	12276
57	755	12263
58	766	12228
59	779	12210
60	793	12207
61	806	12203
62	819	12194
63	834	12198
64	847	12190
65	862	12198
66	875	12187
67	889	12193
68	903	12193
69	917	12185
70	931	12192
71	944	12178
72	957	12160
73	972	12172
74	987	12180
75	999	12154
76	1012	12139
77	1026	12128
78	1038	12111
79	1053	12118
80	1068	12119
81	1084	12137
82	1097	12129
83	1111	12123
84	1125	12114
85	1139	12113
86	1154	12118
87	1169	12116
88	1183	12118
89	1197	12105
90	1210	12095
91	1223	12079
92	1237	12069
93	1252	12068
94	1265	12058
95	1279	12051
96	1293	12038
97	1306	12025
98	1320	12016
99	1333	12004
100	1346	11989
101	1359	11965
102	1372	11952
103	1385	11937
104	1399	11927
105	1412	11915
106	1426	11903
107	1440	11893
108	1454	11887
109	1468	11878
110	1481	11868
111	1495	11857
112	1510	11854
113	1523	11842
114	1536	11825
115	1549	11808
116	1563	11801
117	1577	11789
118	1590	11777
119	1604	11769
120	1618	11759
121	1633	11752
122	1646	11741
123	1659	11726
124	1673	11717
125	1687	11705
126	1700	11689
127	1713	11672
128	1725	11652
129	1737	11630
130	1751	11616
131	1764	11602
132	1777	11584
133	1789	11565
134	1802	11550
135	1815	11534
136	1827	11511
137	1840	11496
138	1853	11481
